Category,1634 bce,1559 bce,1541 bce,1534,1474,1366,1353,1344,1336-1327,1327–1295,1327,1284,1279,1273,1244,1213,1208,1204,1203-1163,1203,1162,1159,1158
Israel,Abraham is Born in Ur of Chaldees (Present day Iraq) 430 years before Moses leads the Exodus in 1204 bce.(1634-1459 bce),"400 years before Joshua's conquest of Canaan and tribal allotment (1159 bce),Abraham is called by God and promised the Land of Shechem (""The Promised Land""), and settles in the Hill country of Ephraim at age 75","Abraham is honored (riches, servants, cattle) in Egypt and Sarah is taken by pharaoh, before being driven out.",Isaac is born to Abraham age 100. (1534-1354 bce),Jacob born (Isaac age 60) 1474-1327,Joseph enters Egypt at ~age 17,"Joseph 30“See, I have set thee over all the land of Egypt.” (Gen 41:41) “And Pharaoh… gave him to wife Asenath…” (Gen 41:45)Beginning of Atenist monotheistic reforms; Joseph and Asenath rule.",Joseph 39“All the souls of the house of Jacob… came into Egypt.” (Gen 46:27)Jacob (age 130) enters Egypt during peak Atenism; Hebrews given Goshen (later called Rameses).,Israel… grew and multiplied exceedingly.” (Gen 47:27)Atenism reversed; restoration of traditional priesthood; Hebrew favor begins to diminish.,Joseph.” (Ex 1:8) “Lest they join unto our enemies…” (Ex 1:10) “They set over them taskmasters…” (Ex 1:11)Atenism revoked; Hebrews seen as military threat; forced labor begins.,Jacob dies at age 147. (1474-1327),Moses born in Goshen,"Moses age 5“Every son that is born ye shall cast into the river.” (Ex 1:22)  “And there went a man of the house of Levi… and the woman conceived, and bare a son.” (Ex 2:1–2)  “And when she could not longer hide him, she took for him an ark of bulrushes… and laid it in the flags by the river’s brink.” (Ex 2:3)Ramesses II begins reign; Moses raised in palace.",Joseph dies at age 110). 1383-1273,Moses age 40“Pharaoh… sought to slay Moses. But Moses fled…” (Ex 2:15)Moses flees to Midian.,Moses 71“The angel of the LORD appeared… in a flame of fire…” (Ex 3:2) “I have surely seen the affliction of my people…” (Ex 3:7) “I will send thee unto Pharaoh.” (Ex 3:10)Burning Bush; God begins preparing Moses.,Moses 76“Their cry is come unto me… I know their sorrows.” (Ex 3:9)Merneptah Stele: “Israel is laid waste; his seed is no more.”,"Moses 80“Go, return into Egypt: for all the men are dead which sought thy life.” (Ex 4:19) “Moses was fourscore years old…” (Ex 7:7) “Let my people go.” (Ex 5:1)Moses returns; plagues; Exodus begins.",Israel wanders 40 years in the Wilderness for disobedience.,"Moses 81“And the LORD overthrew the Egyptians in the midst of the sea.” (Ex 14:27) “And Israel saw the Egyptians dead upon the sea shore.” (Ex 14:30)Sea Peoples invasion; Egyptian military collapse mirrors Red Sea event.
Caleb is 40 years old when Moses sends Spies into Canaan.",Joshua crosses the Jordan into Canaan,Abraham's seed 400 year Journey ends in conquest of Canaan.,"After 40 years of wandering with Moses and 5 more years of conquest in Canaan, Caleb is now 85 years old."
Egypt,,,Khamudi is the last Hyksos ruler of Northern Egypt,,,Amenhotep III (Year 30) -,Akhenaten (Joseph) Year 1 / Nefertiti (Asenath),Akhenaten (Joseph) Year 10 / Nefertiti (Asenath),Tutankhamun (Years 1-10)“And,Ay → Horemheb → Seti I (Oppression Block)“A new king… which knew not,,,Ramesses II (Year 1),,Ramesses II (Year 35),Ramesses II Dies / Merneptah Year 1,Merneptah (Year 5),Merneptah (Year 9),,Merneptah (Year 10),,,
